employer,employer_rating,sector,industry,employer_founded,employer_revenue,job_title,location,min_salary,max_salary,average_base_salary,estimator
Samson Software Solution,3.6,Information Technology,Information Technology Support Services,,Unknown / Non-Applicable,Spanish data Natural language understanding,"South San Francisco, CA",90000.0,120000.0,105000.0,Employer
Instabase,4.1,Information Technology,Enterprise Software & Network Solutions,2015.0,Unknown / Non-Applicable,"Senior Software Engineer, Deep Learning (AI)","New York, NY",185000.0,220000.0,202500.0,Employer
Paycom,3.5,Information Technology,Enterprise Software & Network Solutions,1998.0,$1 to $5 billion (USD),Sr. Data Scientist,"Oklahoma City, OK",90000.0,128000.0,107099.0,Glassdoor
CareGard Warranty Services,3.0,"Construction, Repair & Maintenance Services",Vehicle Repair & Maintenance,1984.0,Unknown / Non-Applicable,Senior Data Engineer,"Grapevine, TX",140000.0,165000.0,152500.0,Employer
BAXTER,3.6,Pharmaceutical & Biotechnology,Biotech & Pharmaceuticals,1931.0,$10+ billion (USD),Sr Data Analyst,"Deerfield, IL",80000.0,110000.0,95000.0,Employer
National Aeronautics and Space Administration (NASA),4.4,Government & Public Administration,National Agencies,1958.0,$10+ billion (USD),Big Data Mining and Artificial Intelligence in the Era of Large Astronomical Surveys,"Greenbelt, MD",94000.0,157000.0,121436.0,Glassdoor
Relentless Talent,3.9,,,,,"Senior Data Analyst: big data analytics platform, SaaS & 100% remote","Pittsburgh, PA",90000.0,100000.0,95000.0,Employer
Houston Methodist Academic Institute,4.3,Healthcare,Health Care Services & Hospitals,1919.0,Unknown / Non-Applicable,Research Data Scientist,"Houston, TX",76000.0,109000.0,91029.0,Glassdoor
U.S. Department of Justice,4.1,Government & Public Administration,National Agencies,1870.0,Unknown / Non-Applicable,Statistician,"Washington, DC",139000.0,181000.0,160306.0,Employer
Jackson Lewis,3.9,Legal,Legal,1958.0,$100 to $500 million (USD),Senior Statistician,"Madison, WI",80000.0,110000.0,93472.0,Glassdoor
Amazon.com Services LLC,3.7,Information Technology,Internet & Web Services,1994.0,$10+ billion (USD),"Data Scientist , AWS Workforce Planning","Seattle, WA",112000.0,112000.0,111600.0,Employer
Amazon.com Services LLC,3.7,Information Technology,Internet & Web Services,1994.0,$10+ billion (USD),"Software Dev Engineer II, AI Security","Seattle, WA",115000.0,115000.0,115000.0,Employer
JPMorgan Chase & Co,4.0,Financial Services,Banking & Lending,1799.0,$10+ billion (USD),"Data Strategy Program Manager, VP","Plano, TX",81000.0,120000.0,98495.0,Glassdoor
Ipsos,3.5,Management & Consulting,Business Consulting,1975.0,$1 to $5 billion (USD),"Senior Data Analyst, Data Processing - Interactive Services","Chicago, IL",105000.0,115000.0,110000.0,Employer
"CommIT Enterprises, Inc",4.8,Information Technology,Information Technology Support Services,,$5 to $25 million (USD),Senior Data Analyst,"Indian Head, MD",74000.0,102000.0,86551.0,Glassdoor
Takeda Pharmaceutical,4.1,Pharmaceutical & Biotechnology,Biotech & Pharmaceuticals,1781.0,$10+ billion (USD),"Manager, Statistical Programmer","Lexington, MA",106000.0,139000.0,121257.0,Glassdoor
percipient.ai,4.0,Information Technology,Enterprise Software & Network Solutions,2017.0,Unknown / Non-Applicable,Senior Data Center Engineer,"Reston, VA",160000.0,200000.0,180000.0,Employer
SAP,4.3,Information Technology,Enterprise Software & Network Solutions,1972.0,$10+ billion (USD),Senior AI/ML Applied Scientist - Generative AI and Knowledge Graph,"Palo Alto, CA",160000.0,222000.0,188548.0,Glassdoor
Microsoft,4.3,Information Technology,Computer Hardware Development,1975.0,$10+ billion (USD),Applied Scientist II,"New York, NY",94000.0,183000.0,138450.0,Employer
Realtor.com,3.6,Information Technology,Computer Hardware Development,1993.0,Unknown / Non-Applicable,"Senior Data Scientist, Product Analytics","Austin, TX",105000.0,148000.0,124821.0,Glassdoor
Amazon.com Services LLC,3.7,Information Technology,Internet & Web Services,1994.0,$10+ billion (USD),"Data Scientist, Ads Marketing","New York, NY",112000.0,112000.0,111600.0,Employer
AECOM,3.8,"Construction, Repair & Maintenance Services",Architectural & Engineering Services,1990.0,$10+ billion (USD),AI & Data Integration Engineer (Hybrid),"Austin, TX",100000.0,148000.0,124000.0,Employer
Dart Container,3.5,Manufacturing,Machinery Manufacturing,1937.0,$1 to $5 billion (USD),Director of Strategic Data and Analytics,"Mason, MI",102000.0,144000.0,121188.0,Glassdoor
"R1 RCM, Inc.",3.5,Healthcare,Health Care Services & Hospitals,2003.0,Unknown / Non-Applicable,Data Science Business Analyst,Remote,54000.0,93000.0,73594.0,Employer
Global IT Resources,3.9,Human Resources & Staffing,HR Consulting,,Unknown / Non-Applicable,Healthcare - Sr. AI/ML Full Stack Engineer - W2 ONLY,Remote,105600.0,115200.0,110400.0,Employer
Snapchat,3.7,Information Technology,Computer Hardware Development,2011.0,Unknown / Non-Applicable,"Director of Product Management, Apps","Los Angeles, CA",250000.0,375000.0,312500.0,Employer
Ginkgo Bioworks,4.2,Pharmaceutical & Biotechnology,Biotech & Pharmaceuticals,2008.0,Unknown / Non-Applicable,Senior AI/ML Engineer 1,Remote,130000.0,130000.0,130000.0,Employer
ManTech,4.3,Aerospace & Defense,Aerospace & Defense,1968.0,$1 to $5 billion (USD),Senior Data Scientist - Cloud,"Chantilly, VA",105000.0,145000.0,123249.0,Glassdoor
Inspire Brands,3.4,Restaurants & Food Service,Restaurants & Cafes,2018.0,Unknown / Non-Applicable,Data Scientist,"Atlanta, GA",88000.0,121000.0,102819.0,Glassdoor
"The Travelers Companies, Inc.",4.1,Insurance,Insurance Carriers,1853.0,$10+ billion (USD),"Sr. Director, Data Architecture","Hartford, CT",155000.0,257000.0,205950.0,Employer
Mayo Clinic,3.8,Healthcare,Health Care Services & Hospitals,,$10+ billion (USD),Senior AI/ML Full Stack Engineer - CDH - Remote,"Rochester, MN",164000.0,238000.0,200866.0,Employer
Ohio Shared Information Services Inc,3.8,Nonprofit & NGO,Civic & Social Services,,Unknown / Non-Applicable,Sr. Data Analyst,"Nashville, TN",72000.0,109000.0,90500.0,Employer
Corewell Health,3.4,Healthcare,Health Care Services & Hospitals,,Unknown / Non-Applicable,AI Solutions Business Systems Analyst Lead,"Grand Rapids, MI",85000.0,116000.0,99538.0,Glassdoor
Citi,3.8,Financial Services,Investment & Asset Management,1812.0,$10+ billion (USD),Data Science Lead Analyst,"New Castle, DE",141000.0,141000.0,141477.0,Employer
US Department of Transportation - Agency Wide,4.2,Transportation & Logistics,Taxi & Car Services,2003.0,$1 to $5 million (USD),Statistician - Direct Hire,"Salt Lake City, UT",73000.0,134000.0,103494.0,Employer
National General Insurance,3.3,Insurance,Insurance Carriers,1920.0,$1 to $5 billion (USD),ENT-Data Scientist-Anlst III,"Winston-Salem, NC",68000.0,104000.0,83757.0,Glassdoor
Deloitte,4.0,Management & Consulting,Business Consulting,1850.0,$10+ billion (USD),Data Modeler,"Rosslyn, VA",78000.0,118000.0,96095.0,Glassdoor
Amazon.com Services LLC,3.7,Information Technology,Internet & Web Services,1994.0,$10+ billion (USD),"Deep Learning Architect, Generative AI Innovation Center","San Diego, CA",105000.0,105000.0,105100.0,Employer
Intellibus Ventures LLC,4.6,Information Technology,Information Technology Support Services,2015.0,Unknown / Non-Applicable,Artificial Intelligence Technical Consultant,"Herndon, VA",92000.0,127000.0,108309.0,Glassdoor
"JoeScan, Inc.",4.1,,,,,Machine Learning Software Engineer,"Vancouver, WA",90000.0,130000.0,110000.0,Employer
National Aeronautics and Space Administration (NASA),4.4,Government & Public Administration,National Agencies,1958.0,$10+ billion (USD),Machine Learning in Survey Cosmology,"Pasadena, CA",86000.0,135000.0,107976.0,Glassdoor
ManTech,4.3,Aerospace & Defense,Aerospace & Defense,1968.0,$1 to $5 billion (USD),Data Scientist II,"Denver, CO",70000.0,117000.0,93700.0,Employer
Apple,4.2,Information Technology,Computer Hardware Development,1976.0,$10+ billion (USD),Applied Scientist - WWBPR Advanced Analytics,"Cupertino, CA",171000.0,257000.0,213600.0,Employer
Progressive,3.8,Insurance,Insurance Carriers,1937.0,$10+ billion (USD),Data Scientist or Senior,United States,70000.0,103000.0,86450.0,Employer
Walmart,3.4,Retail & Wholesale,General Merchandise & Superstores,1962.0,$10+ billion (USD),"Senior, Data Analyst","Bentonville, AR",80000.0,155000.0,117500.0,Employer
Skygroup Investment LLC,3.3,"Arts, Entertainment & Recreation",Sports & Recreation,1998.0,$100 to $500 million (USD),AI Analyst,"Austin, TX",110000.0,110000.0,110000.0,Employer
Apple,4.2,Information Technology,Computer Hardware Development,1976.0,$10+ billion (USD),"Senior Software Engineer, Machine Learning Infrastructure and Quality","Seattle, WA",162000.0,285000.0,223300.0,Employer
Matroid,4.7,Information Technology,Computer Hardware Development,2016.0,Unknown / Non-Applicable,Deep Learning Field Engineer,"Palo Alto, CA",140000.0,140000.0,140000.0,Employer
Optum,3.6,Healthcare,Health Care Services & Hospitals,,$10+ billion (USD),"Vice President, Health Policy - Evaluation, Economics and Predictive Modeling -","Falls Church, VA",142000.0,273000.0,207750.0,Employer
"Amazon Development Center U.S., Inc.",3.7,Information Technology,Internet & Web Services,1994.0,$10+ billion (USD),"Generative AI Strategist, Generative AI Innovation Center","New York, NY",123000.0,123000.0,122900.0,Employer
"Amazon Development Center U.S., Inc.",3.7,Information Technology,Internet & Web Services,1994.0,$10+ billion (USD),Applied Scientist,"New York, NY",136000.0,136000.0,136000.0,Employer
AlphaForce Technology Solutions,3.6,Human Resources & Staffing,Staffing & Subcontracting,,Unknown / Non-Applicable,Lead Data Scientist,"New York, NY",140000.0,160000.0,150000.0,Employer
"Amazon Web Services, Inc. - A97",3.7,Information Technology,Internet & Web Services,1994.0,$10+ billion (USD),"Applied Scientist II, Next Gen Developer Experience","New York, NY",136000.0,136000.0,136000.0,Employer
Apple,4.2,Information Technology,Computer Hardware Development,1976.0,$10+ billion (USD),"AIML - Sr Machine Learning Manager, Siri Understanding","Seattle, WA",231000.0,346000.0,288400.0,Employer
"Amazon Development Center U.S., Inc.",3.7,Information Technology,Internet & Web Services,1994.0,$10+ billion (USD),"Software Development Engineer II, GEN AI","Seattle, WA",115000.0,115000.0,115000.0,Employer
PRICE WATERHOUSE COOPERS,3.9,Financial Services,Accounting & Tax,1998.0,$5 to $10 billion (USD),Digital Contact Solutions and Conversational AI-Senior Manager,"Boston, MA",108000.0,156000.0,130047.0,Glassdoor
Meta,3.9,Information Technology,Internet & Web Services,2004.0,$10+ billion (USD),MFG Data SW Development Engineer,"Sunnyvale, CA",170000.0,240000.0,205000.0,Employer
"Amazon Web Services, Inc.",3.8,Information Technology,Internet & Web Services,2006.0,$10+ billion (USD),"Senior Data Scientist , AWS Support Business Operations","Dallas, TX",111000.0,157000.0,131822.0,Glassdoor
Citi,3.8,Financial Services,Investment & Asset Management,1812.0,$10+ billion (USD),"VP, Compliance Officer - AI/ML Data Scientist Fair Lending and Fairness Tier 2 and Tier 3 Model Review (Hybrid)","Tampa, FL",114000.0,171000.0,142300.0,Employer
Mayo Clinic,3.8,Healthcare,Health Care Services & Hospitals,,$10+ billion (USD),Principal Data Science Analyst - CDH - Remote,"Rochester, MN",142000.0,205000.0,173555.0,Employer
TSPi,3.8,Nonprofit & NGO,Civic & Social Services,,Unknown / Non-Applicable,Full Stack Developer,United States,85000.0,95000.0,90000.0,Employer
ManTech,4.3,Aerospace & Defense,Aerospace & Defense,1968.0,$1 to $5 billion (USD),Data Analyst and Statistician,"Washington, DC",94000.0,134000.0,111818.0,Glassdoor
Builders FirstSource,3.9,Retail & Wholesale,Wholesale,1998.0,Unknown / Non-Applicable,Senior Data Analyst- Sales/SAP OTC,United States,97000.0,162000.0,129700.0,Employer
Reveille,4.1,,,,,Artificial Intelligence Architect,"Bergenfield, NJ",134400.0,144000.0,139200.0,Employer
Riverside Research Institute,4.2,Government & Public Administration,National Agencies,1967.0,$25 to $100 million (USD),Senior AI/ML Engineer,"Fairborn, OH",120000.0,185000.0,152500.0,Employer
Deloitte,4.0,Management & Consulting,Business Consulting,1850.0,$10+ billion (USD),Data Architect,"Rosslyn, VA",112000.0,152000.0,130564.0,Glassdoor
Kratos Defense,3.5,Aerospace & Defense,Aerospace & Defense,1995.0,$500 million to $1 billion (USD),Multiple Opportunities -- AIMSS (Data Analysts / Management / Scientists),"Huntsville, AL",55000.0,86000.0,68748.0,Glassdoor
"Amazon Web Services, Inc.",3.8,Information Technology,Internet & Web Services,2006.0,$10+ billion (USD),Applied Scientist,"Seattle, WA",136000.0,136000.0,136000.0,Employer
"Amazon Web Services, Inc.",3.8,Information Technology,Internet & Web Services,2006.0,$10+ billion (USD),"Software Development Engineer II, AI/ML ADC","Denver, CO",115000.0,115000.0,115000.0,Employer
Syndio,4.8,Information Technology,Software Development,2017.0,Unknown / Non-Applicable,Senior Machine Learning Engineer,"San Francisco, CA",151000.0,177000.0,164000.0,Employer
Microsoft,4.3,Information Technology,Computer Hardware Development,1975.0,$10+ billion (USD),Principal Data Scientist,United States,134000.0,257000.0,195200.0,Employer
Tiffany & Co.,3.3,Retail & Wholesale,Other Retail Stores,1837.0,$1 to $5 billion (USD),"Manager, Data Governance","New York, NY",130000.0,183000.0,156313.0,Employer
CareGard Warranty Services,3.0,"Construction, Repair & Maintenance Services",Vehicle Repair & Maintenance,1984.0,Unknown / Non-Applicable,Data Integrations Lead,"Grapevine, TX",125000.0,145000.0,135000.0,Employer
ManTech,4.3,Aerospace & Defense,Aerospace & Defense,1968.0,$1 to $5 billion (USD),Data Engineer,"Herndon, VA",92000.0,124000.0,106668.0,Glassdoor
NVIDIA,4.6,Information Technology,Computer Hardware Development,1993.0,$5 to $10 billion (USD),DevOps and Release Engineer - Drug Discovery AI,"Santa Clara, CA",176000.0,334000.0,254750.0,Employer
Johns Hopkins University,4.0,Education,Colleges & Universities,1876.0,$1 to $5 billion (USD),Sr. Research Data Analyst,"Baltimore, MD",55000.0,97000.0,75900.0,Employer
Common App,4.2,,,,Unknown / Non-Applicable,Senior Data Scientist - US Based Remote Opportunity,"Arlington, VA",86000.0,124000.0,103075.0,Glassdoor
US National Institutes of Health,4.3,Pharmaceutical & Biotechnology,Biotech & Pharmaceuticals,1887.0,Unknown / Non-Applicable,Data Scientist,United States,139000.0,181000.0,160306.0,Employer
CVS Health,3.1,Healthcare,Health Care Services & Hospitals,1963.0,$10+ billion (USD),Senior Decision Scientist - Specialty Pharmacy Growth,"New York, NY",107000.0,206000.0,156303.0,Employer
Paycom,3.5,Information Technology,Enterprise Software & Network Solutions,1998.0,$1 to $5 billion (USD),Data Scientist - OSU,"Oklahoma City, OK",90000.0,127000.0,106868.0,Glassdoor
Na Oiwi Kane,3.7,,,,Unknown / Non-Applicable,Data Scientist/Developer,"Silver Spring, MD",88000.0,131000.0,107585.0,Glassdoor
Johns Hopkins University,4.0,Education,Colleges & Universities,1876.0,$1 to $5 billion (USD),Senior Research Data Analyst,"Baltimore, MD",55000.0,97000.0,75900.0,Employer
Meta,3.9,Information Technology,Internet & Web Services,2004.0,$10+ billion (USD),SiteOps Data Center Operations Engineer,"New Albany, OH",69000.0,99000.0,84001.0,Employer
Apple,4.2,Information Technology,Computer Hardware Development,1976.0,$10+ billion (USD),Machine Learning Engineer - Health Strategic Initiative,"Cupertino, CA",200000.0,300000.0,250000.0,Employer
Link Network,4.9,,,,,AI Researcher,Remote,120000.0,175000.0,147500.0,Employer
Main Sail LLC,4.7,Media & Communication,Advertising & Public Relations,,$5 to $25 million (USD),Data Scientist,"Reston, VA",82000.0,114000.0,96614.0,Glassdoor
"World Wide Technology Holding, LLC",4.1,Information Technology,Computer Hardware Development,1990.0,$10+ billion (USD),Data Scientist,"Saint Louis, MO",84000.0,118000.0,99700.0,Glassdoor
Memorial Hermann Health System,3.8,Healthcare,Health Care Services & Hospitals,1906.0,Unknown / Non-Applicable,Sr Data Analyst - Quality-1,"Houston, TX",69000.0,98000.0,82554.0,Glassdoor
EXL Services,3.7,Management & Consulting,Business Consulting,1999.0,$500 million to $1 billion (USD),Gen AI Software Developer,"Hartford, CT",110000.0,125000.0,117500.0,Employer
Warner Bros Careers,3.6,Media & Communication,Film Production,2003.0,$10+ billion (USD),Senior Data Scientist,"Culver City, CA",120000.0,222000.0,171000.0,Employer
AT&T,3.5,Telecommunications,Telecommunications Services,1876.0,$10+ billion (USD),Senior Specialist-Data Scientist,"Alpharetta, GA",159000.0,159000.0,159100.0,Employer
Nutrabolt,3.5,Personal Consumer Services,Consumer Product Rental,2002.0,Unknown / Non-Applicable,Supply Chain Data Scientist,"Austin, TX",82000.0,116000.0,97910.0,Glassdoor
Thermo Fisher Scientific,3.6,Pharmaceutical & Biotechnology,Biotech & Pharmaceuticals,1902.0,$10+ billion (USD),"Scientist II, Data Sciences","Saint Louis, MO",88000.0,116000.0,101182.0,Glassdoor
Amgen,4.2,Pharmaceutical & Biotechnology,Biotech & Pharmaceuticals,1980.0,$10+ billion (USD),Tech Lead Data Scientist,"Washington, DC",160000.0,193000.0,176501.0,Employer
Georgia Tech Research Institute,4.3,Education,Colleges & Universities,1885.0,$1 to $5 billion (USD),Machine Learning Graduate Research Assistant – EOSL – Summer 2024,"Atlanta, GA",57000.0,84000.0,69462.0,Glassdoor
ABBVIE,3.9,Pharmaceutical & Biotechnology,Biotech & Pharmaceuticals,2013.0,$10+ billion (USD),"Director, Statistics","Irvine, CA",142000.0,197000.0,166907.0,Glassdoor
Dell Technologies,4.1,Information Technology,Information Technology Support Services,1984.0,$10+ billion (USD),Senior Principal Engineer- AI/ML/HPC,"Austin, TX",119000.0,163000.0,139372.0,Glassdoor
Solvere Technical Group,4.7,,,,Unknown / Non-Applicable,CSDO Data Scientist,"San Diego, CA",98000.0,144000.0,120750.0,Employer
Eclerx,3.4,Management & Consulting,Business Consulting,2000.0,$100 to $500 million (USD),Consultant-Data Science,"Austin, TX",100000.0,120000.0,110000.0,Employer
Worldforce,4.2,,,,,Product Manager for AI,Remote,40000.0,130000.0,85000.0,Employer
BSI,3.9,Management & Consulting,Business Consulting,1901.0,$500 million to $1 billion (USD),Artificial Intelligence Auditor,United States,90000.0,124000.0,106930.0,Employer
Booz Allen,4.2,Management & Consulting,Business Consulting,1914.0,$5 to $10 billion (USD),"Big Data Engineer, Junior","Norfolk, VA",45000.0,93000.0,69150.0,Employer
ManTech,4.3,Aerospace & Defense,Aerospace & Defense,1968.0,$1 to $5 billion (USD),Data Scientist Subject Matter Expert,"Ashburn, VA",171000.0,284000.0,227250.0,Employer
"Daiichi Sankyo, Inc.",4.0,Pharmaceutical & Biotechnology,Biotech & Pharmaceuticals,1899.0,$5 to $10 billion (USD),"Director, Statistical Programming","Basking Ridge, NJ",132000.0,179000.0,153939.0,Glassdoor
"ENSCO, Inc.",4.0,Aerospace & Defense,Aerospace & Defense,1969.0,$100 to $500 million (USD),Junior Data Scientist,"Fairfax, VA",76000.0,117000.0,93990.0,Glassdoor
Georgia Tech Research Institute,4.3,Education,Colleges & Universities,1885.0,$1 to $5 billion (USD),Machine Learning Student Research Assistant - EOSL – Summer 2024,"Atlanta, GA",46000.0,74000.0,58747.0,Glassdoor
Bose,3.7,Manufacturing,Consumer Product Manufacturing,1964.0,$1 to $5 billion (USD),Machine Learning Research Co-Op,"Framingham, MA",103000.0,141000.0,120721.0,Glassdoor
HealthEquity,4.1,Financial Services,Financial Transaction Processing,2001.0,$100 to $500 million (USD),Sr Fraud Data Analyst,United States,72000.0,111000.0,91500.0,Employer
Uplight,3.5,"Energy, Mining & Utilities",Energy & Utilities,,Unknown / Non-Applicable,"Senior Data Scientist, Optimization",United States,115000.0,145000.0,130000.0,Employer
US National Gallery of Art,3.6,"Arts, Entertainment & Recreation",Culture & Entertainment,,Unknown / Non-Applicable,Information Technology Specialist (Data Scientist),"Washington, DC",118000.0,181000.0,149589.0,Employer
Intellibus,4.6,Information Technology,Information Technology Support Services,2015.0,Unknown / Non-Applicable,Sr AI Technical Consultant,"Reston, VA",98000.0,138000.0,116441.0,Glassdoor
Mayo Clinic,3.8,Healthcare,Health Care Services & Hospitals,,$10+ billion (USD),RTP-RESEARCH FELLOW- Artificial Intelligence,"Phoenix, AZ",102000.0,126000.0,113308.0,Glassdoor
Booz Allen,4.2,Management & Consulting,Business Consulting,1914.0,$5 to $10 billion (USD),Machine Learning Engineer,"El Segundo, CA",52000.0,119000.0,85550.0,Employer
"Amazon Development Center U.S., Inc.",3.7,Information Technology,Internet & Web Services,1994.0,$10+ billion (USD),"System Dev Engineer II, AI/ML ADC","Denver, CO",103000.0,103000.0,103400.0,Employer
Atmos Energy,4.0,"Energy, Mining & Utilities",Energy & Utilities,1906.0,$1 to $5 billion (USD),Sr Systems & Data Analyst,"Dallas, TX",84000.0,116000.0,98626.0,Glassdoor
UT Southwestern,3.9,Healthcare,Health Care Services & Hospitals,1943.0,$1 to $5 billion (USD),"Machine Learning Research Scientist, Neurology","Dallas, TX",97000.0,148000.0,119930.0,Glassdoor
"Amazon Development Center U.S., Inc.",3.7,Information Technology,Internet & Web Services,1994.0,$10+ billion (USD),"Applied Scientist II, Generative AI Innovation Center","San Francisco, CA",136000.0,136000.0,136000.0,Employer
"Amazon Web Services, Inc.",3.8,Information Technology,Internet & Web Services,2006.0,$10+ billion (USD),"Sr. Manager, Product Marketing, Generative AI-Powered Developer Tools","Seattle, WA",150000.0,150000.0,149600.0,Employer
W.L. Gore & Associates,3.3,Manufacturing,Machinery Manufacturing,1958.0,$1 to $5 billion (USD),Clinical Statistical Programmer - Remote,"Flagstaff, AZ",68000.0,97000.0,81414.0,Glassdoor
"Amazon Web Services, Inc. - A97",3.7,Information Technology,Internet & Web Services,1994.0,$10+ billion (USD),"Applied Scientist III, Next Gen Developer Experience","Seattle, WA",136000.0,136000.0,136000.0,Employer
ByteDance,3.8,Information Technology,Internet & Web Services,2012.0,Unknown / Non-Applicable,Frontend Software Engineer - Applied Machine Learning Platform,"Seattle, WA",130000.0,246000.0,188100.0,Employer
Confluent,3.7,Information Technology,Computer Hardware Development,2014.0,Unknown / Non-Applicable,Senior Software Engineer- Machine Learning and AI Integration,United States,156000.0,183000.0,169570.0,Employer
Meta,3.9,Information Technology,Internet & Web Services,2004.0,$10+ billion (USD),"Product Manager, Machine Learning","Menlo Park, CA",171000.0,238000.0,204500.0,Employer
Life Time,3.6,Personal Consumer Services,Beauty & Wellness,1992.0,$1 to $5 billion (USD),Basketball Statistician,"Oklahoma City, OK",37000.0,58000.0,46149.0,Glassdoor
TD Synnex - SHI for Chicago Public Schools (Central Office),4.1,,,,,"Manager, Enterprise Generative Artificial Intelligence","Chicago, IL",120000.0,140000.0,130000.0,Employer
University of Virginia,4.3,Education,Colleges & Universities,1819.0,$1 to $5 billion (USD),Intermediate Data Scientist,"Charlottesville, VA",100000.0,120000.0,110000.0,Employer
Archarithms Inc,3.4,Aerospace & Defense,Aerospace & Defense,2012.0,$1 to $5 million (USD),Senior AI Engineer,"Huntsville, AL",83000.0,130000.0,103618.0,Glassdoor
Klaviyo,4.0,Information Technology,Internet & Web Services,2012.0,Unknown / Non-Applicable,"Lead Data Scientist, ML Research","Boston, MA",125000.0,174000.0,147663.0,Glassdoor
Apple,4.2,Information Technology,Computer Hardware Development,1976.0,$10+ billion (USD),Machine Learning Compiler Engineer,"Cupertino, CA",107174.40000000001,161452.80000000002,134304.0,Employer
"Advanced Micro Devices, Inc",4.1,Information Technology,Computer Hardware Development,1969.0,$10+ billion (USD),MTS - Deep Learning Software Engineer - AI Models,"Austin, TX",140000.0,179000.0,158338.0,Glassdoor
JPMorgan Chase & Co,4.0,Financial Services,Banking & Lending,1799.0,$10+ billion (USD),Data Owner Lead - Voice operations,"Chicago, IL",55000.0,83000.0,67321.0,Glassdoor
Apple,4.2,Information Technology,Computer Hardware Development,1976.0,$10+ billion (USD),"AIML - Machine Learning Engineer (Knowledge Extraction), Siri and Information Intelligence","Seattle, WA",132000.0,243000.0,187400.0,Employer
Store No. 8,4.2,,,,Unknown / Non-Applicable,"Senior Data Scientist, Tech","Hoboken, NJ",73000.0,127000.0,100000.0,Employer
Angi,3.5,Information Technology,Internet & Web Services,1995.0,$1 to $5 billion (USD),"Director, Data Science & Machine Learning","Seattle, WA",136000.0,222000.0,173888.0,Glassdoor
JPMorgan Chase & Co,4.0,Financial Services,Banking & Lending,1799.0,$10+ billion (USD),"Data Scientist Lead, Sales Optimization","Columbus, OH",143000.0,210000.0,176250.0,Employer
Clicklease,3.5,Financial Services,Financial Transaction Processing,2018.0,Unknown / Non-Applicable,Senior Machine Learning Engineer,"West Valley City, UT",140000.0,180000.0,160000.0,Employer
WTW,3.9,Management & Consulting,Business Consulting,1828.0,$10+ billion (USD),Senior Data Scientist,"Fort Lee, NJ",132000.0,193000.0,159724.0,Glassdoor
Senior Care Partners PACE,3.4,Healthcare,Health Care Services & Hospitals,2008.0,$5 to $25 million (USD),Sr. Finance & Data Analyst,"Battle Creek, MI",71000.0,101000.0,84654.0,Glassdoor
TikTok,3.4,Information Technology,Internet & Web Services,2016.0,Unknown / Non-Applicable,"Machine Learning Engineer - Data Curation - AIGC, TikTok Monetization GenAI","Seattle, WA",138000.0,238000.0,187625.0,Employer
Tria Federal,4.7,,,,,"Data Scientist - 1099, TS/SCI CI Poly","Reston, VA",100000.0,250000.0,175000.0,Employer
Connvertex Technologies,4.1,Information Technology,Information Technology Support Services,2008.0,Unknown / Non-Applicable,AI/ML Engineer,Remote,105600.0,124800.0,115200.0,Employer
Carnegie Mellon University,4.4,Education,Colleges & Universities,1900.0,$1 to $5 billion (USD),AI Workforce Development Engineer,"Pittsburgh, PA",71000.0,106000.0,86875.0,Glassdoor
Mars,4.3,Manufacturing,Food & Beverage Manufacturing,1911.0,$10+ billion (USD),"Senior Counsel, Data Privacy & Security","Newark, NJ",125000.0,186000.0,152766.0,Glassdoor
National Aeronautics and Space Administration (NASA),4.4,Government & Public Administration,National Agencies,1958.0,$10+ billion (USD),Data scientist for new missions in the NASA GSFC Ocean Ecology Laboratory,"Greenbelt, MD",102000.0,175000.0,133622.0,Glassdoor
Crusoe,3.4,Information Technology,Computer Hardware Development,2018.0,Unknown / Non-Applicable,R&D - Data Center Systems Architect - Senior,"Denver, CO",79000.0,124000.0,98913.0,Glassdoor
Booz Allen,4.2,Management & Consulting,Business Consulting,1914.0,$5 to $10 billion (USD),Payment Policy Analyst,"Bethesda, MD",93000.0,212000.0,152650.0,Employer
Clark Hill,3.4,Financial Services,Accounting & Tax,1892.0,$25 to $100 million (USD),Data Mining Analyst,United States,85000.0,115000.0,100000.0,Employer
Abacus.AI,4.7,Information Technology,Enterprise Software & Network Solutions,2019.0,Unknown / Non-Applicable,"Operations Research Engineering Lead, Abacus.AI, Inc., San Francisco, CA.","San Francisco, CA",150000.0,250000.0,200000.0,Employer
SS&C,3.3,Information Technology,Information Technology Support Services,1986.0,$5 to $10 billion (USD),Sr. Data Scientist,"Waltham, MA",92000.0,128000.0,108659.0,Glassdoor
Gates Corporation,3.5,Manufacturing,Machinery Manufacturing,1911.0,$1 to $5 billion (USD),Data Science Manager,"Denver, CO",116000.0,160000.0,136139.0,Glassdoor
JPMorgan Chase & Co,4.0,Financial Services,Banking & Lending,1799.0,$10+ billion (USD),Machine Learning Scientist - Natural Language Processing (NLP) - Vice President - Machine Learning Center of Excellence,"New York, NY",147000.0,260000.0,203625.0,Employer
"Stable Analytics, LLC",4.0,,,,,Sr. Data Scientist,"Lexington, KY",105000.0,160000.0,132500.0,Employer
Agios Pharmaceuticals,4.0,Pharmaceutical & Biotechnology,Biotech & Pharmaceuticals,2008.0,$5 to $25 million (USD),Pharmacometrics Data Scientist,"Cambridge, MA",107000.0,151000.0,127423.0,Glassdoor
